Customer_id,corp,cohort,cohort_text,ethnic,language,groupcode,cust_res,enhanced_est_income,i1_combined_age,i1_gendercode,dwelling_type,length_of_residence,number_of_children,occupation_group1,education_individual1,product_id,zipcode,ethnic1,lnguage,lnth_res
84,7840,K58,K58,10,1,K,1,F,E62,M,S,35,1,I6,52,18,11764,GERMAN,ENGLISH,31-35 Years
85,7801,O69,O69,19,1,E,2,L,E59,M,S,19,1,K1,14,18,11577N,ITALIAN,ENGLISH,16-20 Years
86,7837,C13,C13,E4,1,A,4,D,E25,M,M,0,1,I8,51,5,10456,AFRICAN AMERICAN,ENGLISH,0 Years
87,7839,D21,D21,20,1,O,9,C,~,F,~,4,0,I8,52,18,11901A,HISPANIC,ENGLISH,1-5 Years
88,7862,D18,D18,20,20,O,4,D,~,F,~,2,0,I6,55,3,7087,HISPANIC,SPANISH,1-5 Years
89,7840,H42,H42,2,1,K,1,E,E68,M,S,38,0,K9,51,18,11776,SCOTTISH,ENGLISH,36+ Years
90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,7858,J49,J49,~,~,~,3,F,E49,M,S,8,0,I6,55,18,11003,UNKNOWN,UNKNOWN,6-10 Years
92,7875,E23,E23,19,1,E,1,E,E45,M,S,43,0,K6,51,18,7734,ITALIAN,ENGLISH,36+ Years
93,7840,J50,J50,4,1,G,5,E,E73,F,S,2,2,I9,12,18,11713,SWEDISH,ENGLISH,1-5 Years
94,7828,J54,J54,30,1,L,4,G,E52,F,A,2,0,I1,54,18,11559,RUSSIAN,ENGLISH,1-5 Years
95,7875,J53,J53,19,1,E,1,J,E49,F,S,19,0,I5,53,3,8820,ITALIAN,ENGLISH,16-20 Years
96,7866,H42,H42,8,1,K,4,F,E39,M,A,15,4,K1,53,18,7720,DUTCH,ENGLISH,11-15 Years
97,7868,K58,K58,2,1,K,1,F,E59,F,S,30,0,I5,53,3,11940,SCOTTISH,ENGLISH,26-30 Years
98,7844,B12,B12,85,1,A,5,E,E36,F,A,12,0,I8,52,3,7112,AFRICAN AMERICAN,ENGLISH,11-15 Years
99,7881,K57,K57,8,1,K,1,F,~,M,~,13,0,I9,51,18,6756,DUTCH,ENGLISH,11-15 Years
100,7848,N67,N67,37,~,L,1,L,E37,F,S,1,1,I8,53,18,11030F,ROMANIAN,UNKNOWN,1-5 Years
101,7839,K58,K58,10,1,K,3,G,E64,F,S,0,0,K3,14,18,11931,GERMAN,ENGLISH,0 Years
102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,7801,K58,K58,19,1,E,2,I,E24,M,S,14,1,I4,14,18,11758,ITALIAN,ENGLISH,11-15 Years
104,7858,K59,K59,10,1,K,1,H,E60,M,S,26,0,K4,14,18,11554,GERMAN,ENGLISH,26-30 Years
105,7840,L60,L60,37,1,L,2,G,~,U,~,22,0,I4,51,5,11720,ROMANIAN,ENGLISH,20-25 Years
106,7801,L61,L61,20,20,O,3,B,I39,F,S,1,2,I3,53,3,11703,HISPANIC,SPANISH,1-5 Years
107,7858,K58,K58,19,1,E,2,H,E59,M,S,19,0,I1,52,18,11554,ITALIAN,ENGLISH,16-20 Years
108,7840,J52,J52,1,1,K,2,F,E56,M,S,19,1,I1,51,18,11763,ENGLISH,ENGLISH,16-20 Years
109,7858,L61,L61,19,1,E,1,G,I60,M,S,39,0,I6,51,18,11040,ITALIAN,ENGLISH,36+ Years
